               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01774,            0.008384,           0.0038155,             0.98151,                   1,             0.99482,             0.84067,            0.013831,           0.0035524,           0.0007899,              0.0005,              0.0005,              0.0955
                   1,            0.017338,           0.0077741,           0.0049332,             0.97392,             0.99824,             0.99455,             0.86029,            0.014695,           0.0036458,           0.0008754,           0.0010782,           0.0010782,            0.090078
                   2,            0.022661,           0.0098163,           0.0046966,             0.96508,              0.9997,             0.99455,             0.80593,            0.018339,           0.0038051,           0.0011749,           0.0016327,           0.0016327,            0.084633
                   3,            0.023923,           0.0083872,           0.0040192,             0.98255,             0.99303,             0.99455,             0.72001,            0.023784,           0.0040143,          0.00097723,           0.0021634,           0.0021634,            0.079163
                   4,            0.024847,           0.0094419,           0.0069318,             0.89041,             0.93782,             0.97638,             0.72543,            0.027129,           0.0039281,           0.0023327,           0.0026703,           0.0026703,             0.07367
                   5,            0.027612,           0.0097537,           0.0049915,              0.9876,             0.98885,             0.98906,             0.73283,            0.024787,           0.0040146,           0.0015173,           0.0031535,           0.0031535,            0.068154
                   6,            0.028359,            0.009302,           0.0049588,             0.84197,             0.98837,             0.93234,             0.59327,            0.034013,            0.004122,           0.0015347,           0.0036129,           0.0036129,            0.062613
                   7,            0.030785,           0.0095407,           0.0061437,             0.94755,             0.99715,             0.99023,             0.59591,            0.030248,           0.0041577,           0.0022437,           0.0040486,           0.0040486,            0.057049
                   8,            0.030753,           0.0078672,           0.0053237,             0.94323,             0.92077,             0.97189,             0.49393,            0.037154,           0.0042831,           0.0029865,           0.0044605,           0.0044605,             0.05146
                   9,            0.030683,           0.0087808,            0.005984,             0.85913,             0.89558,             0.96061,             0.59512,            0.031713,            0.004092,           0.0034281,           0.0048486,           0.0048486,            0.045849
                  10,            0.026723,           0.0083008,           0.0049709,             0.76763,             0.87693,             0.92667,             0.55059,             0.03456,           0.0042639,           0.0037403,            0.005213,            0.005213,            0.040213
                  11,            0.032971,            0.010238,           0.0054465,             0.84194,             0.91361,             0.92642,             0.48882,            0.037999,           0.0042678,           0.0052345,           0.0055536,           0.0055536,            0.034554
                  12,            0.033603,           0.0091986,           0.0065237,             0.66823,             0.90445,             0.77297,             0.41623,            0.036078,           0.0040623,           0.0029077,           0.0058705,           0.0058705,             0.02887
                  13,            0.031606,            0.010133,           0.0061973,             0.85432,             0.94144,             0.95844,             0.66248,            0.031985,           0.0041105,           0.0023829,           0.0061636,           0.0061636,            0.023164
                  14,            0.030921,           0.0085335,           0.0048441,              0.7338,             0.88279,             0.92112,             0.59438,            0.049599,           0.0043509,           0.0022182,           0.0064329,           0.0064329,            0.017433
                  15,            0.033992,           0.0098034,           0.0052657,             0.52754,             0.61459,             0.58185,             0.31833,            0.039869,           0.0075184,            0.014631,           0.0066785,           0.0066785,            0.011678
                  16,            0.031106,           0.0091467,           0.0047596,              0.8273,             0.82699,             0.92967,               0.501,            0.037413,           0.0051138,           0.0024534,            0.006832,            0.006832,            0.006832
